记录时间,视频标题,视频时长
2025-09-29 09:58:19,顾亚：教育启润心田 音乐走向远方,(00:08:19)
2025-09-29 10:04:57,黄虹：在奔跑中追寻人生绚丽的彩虹,(00:12:08)
2025-09-29 10:15:24,李龙梅：让教育之光照亮每个孩子,(00:13:07)
2025-09-29 10:21:21,李蕊：和孩子们在爱中生活,(00:09:00)
2025-09-29 10:29:45,刘小清：为“折翼天使”撑起一片天,(00:09:55)
2025-09-29 10:35:52,罗冠男：在时间的长河里守护中华法治文明,(00:10:14)
2025-09-29 10:43:33,牛雪松：做守护冠军梦想的“六边形战士”,(00:11:44)
2025-09-29 10:51:48,农加贵：一心一意守初心 一师一校一辈子,(00:09:48)
2025-09-29 11:02:35,顾亚：教育启润心田 音乐走向远方,(00:08:19)
2025-09-29 11:07:33,顾亚：教育启润心田 音乐走向远方,(00:08:19)
2025-09-29 11:07:48,黄虹：在奔跑中追寻人生绚丽的彩虹,(00:12:08)
2025-09-29 11:14:30,苏东林：立电磁强国大志向 做挺膺担当奋斗者,(00:10:55)
2025-09-29 11:28:56,中职学校“金课程”建设的探索与实践01,(00:28:22)
2025-09-29 11:50:24,中职学校优质教材开发建设的思考与实践03,(00:41:40)
2025-09-29 11:57:34,中职教学成果奖培育与申报01,(00:07:09)
2025-09-29 12:12:37,中职教学成果奖培育与申报02,(00:15:02)
2025-09-29 12:29:18,中职教学成果奖培育与申报03,(00:16:40)
2025-09-29 12:37:57,中职教学成果奖培育与申报04,(00:08:37)
2025-09-29 12:53:21,高职课程思政建设模式的研究与实践01,(00:15:22)
2025-09-29 13:04:33,高职课程思政建设模式的研究与实践02,(00:15:27)
2025-09-29 13:11:15,01代码解答助手,(00:04:01)
2025-09-29 13:16:50,02代码纠错助手,(00:05:33)
2025-09-29 13:21:35,03数学解题助手,(00:04:44)
2025-09-29 13:25:31,04智能出题助手,(00:03:55)
2025-09-29 13:30:44,05伏羲天气大模型,(00:05:12)
2025-09-29 13:35:17,06科技信息平台AMiner,(00:04:32)
2025-09-29 13:40:17,07自在心理健康大模型,(00:04:57)
2025-09-29 13:47:34,白泽智慧学伴,(00:07:15)
2025-09-29 15:30:32,01代码解答助手,(00:04:01)
2025-09-29 15:33:22,02代码纠错助手,(00:05:33)
2025-09-29 15:35:46,03数学解题助手,(00:04:44)
2025-09-29 15:41:00,人工智能与中国式现代化01,(00:21:59)
2025-09-29 15:50:39,人工智能与中国式现代化02,(00:18:26)
2025-09-29 16:00:43,人工智能与中国式现代化03,(00:19:42)
2025-09-29 16:15:40,青少年心理危机识别、预防以及干预01,(00:14:42)
2025-09-29 16:35:49,青少年心理危机识别、预防以及干预02,(00:20:07)
2025-09-29 16:53:57,青少年心理危机识别、预防以及干预03,(00:18:07)
2025-09-29 17:14:43,青少年心理危机识别、预防以及干预04,(00:20:45)
2025-09-29 17:35:20,家校社协同促进学生心理健康的探索与实践01,(00:20:35)
2025-09-29 17:57:54,家校社协同促进学生心理健康的探索与实践02,(00:22:34)
2025-09-29 18:32:36,家校社协同促进学生心理健康的探索与实践03,(00:34:41)
2025-09-29 18:39:58,家校社协同促进学生心理健康的探索与实践04,(00:07:21)
2025-09-29 18:59:53,教师的职业生涯规划与心理健康01,(00:19:52)
2025-09-29 19:25:12,教师的职业生涯规划与心理健康02,(00:25:18)
2025-09-29 19:46:40,开班仪式讲话,(00:34:33)
2025-09-29 20:03:31,探索奇妙的微观世界——同步辐射谱学技术与应用,(00:33:20)
2025-09-29 21:58:28,顾亚：教育启润心田 音乐走向远方,(00:08:19)
2025-09-29 21:58:43,黄虹：在奔跑中追寻人生绚丽的彩虹,(00:12:08)
2025-09-29 21:59:01,李龙梅：让教育之光照亮每个孩子,(00:13:07)
2025-09-29 22:01:00,顾亚：教育启润心田 音乐走向远方,(00:08:19)
2025-09-29 22:01:08,黄虹：在奔跑中追寻人生绚丽的彩虹,(00:12:08)
2025-09-29 22:01:45,李龙梅：让教育之光照亮每个孩子,(00:13:07)
